Run,TID,Flops,Bytes,FPINS,Intops,INTINS
cg.W.x_A64FX,1217,2114130801,21362903865,159135811,1467998819,711596006
cg.W.x_A64FX,1213,2104238654,21270089066,158145544,1458406844,706107026
cg.W.x_A64FX,1214,2103985880,21324745407,158165458,1464352201,712294567
cg.W.x_A64FX,1218,2124503297,21502888084,159920603,1474206518,712731288
cg.W.x_A64FX,1219,2108227283,21329750608,158990205,1469236646,715044263
cg.W.x_A64FX,1221,2107924892,21328141362,159169958,1470645969,716437303
cg.W.x_A64FX,1212,2114322472,21388126362,158689234,1462145647,705018245
cg.W.x_A64FX,1211,2127561468,21513743585,159273926,1467935729,706091034
cg.W.x_A64FX,1215,2114899264,21396395277,159034834,1468438520,711208822
cg.W.x_A64FX,1220,2112553252,21368628573,159304894,1472511974,716519131
cg.W.x_A64FX,1216,2112106776,21347833861,158953418,1465364441,709558255
cg.W.x_A64FX,1210,2118361981,21488929180,158702532,1465305485,707484341
cg.B.x_A64FX_32,1237,2113311473,21467382193,159030047,1476609530,719742586
cg.B.x_A64FX_32,1255,2110490003,21443781469,161508209,1493174029,737172715
cg.B.x_A64FX_32,1264,2121167818,21603425862,163538896,1508727034,747407497
cg.B.x_A64FX_32,1243,2108654926,21369435632,159603972,1475563824,720720066
cg.B.x_A64FX_32,1238,2117515750,21475110929,159428548,1477484705,718648264
cg.B.x_A64FX_32,1260,2106464546,21469308226,162049136,1503377420,748798640
cg.B.x_A64FX_32,1259,2129693698,21713015238,163364448,1513836066,748938278
cg.B.x_A64FX_32,1251,2100829411,21338227348,160370105,1484322803,732283853
cg.B.x_A64FX_32,1248,2111037025,21460266629,160500119,1489312820,733263025
cg.B.x_A64FX_32,1242,2101057918,21280480157,158954580,1470618612,719091535
cg.B.x_A64FX_32,1245,2102187512,21401349607,159495326,1485778010,733678904
cg.B.x_A64FX_32,1234,2117804193,21469758573,158849527,1474216668,715591169
cg.B.x_A64FX_32,1240,2128109765,21553528315,160379683,1480356972,717417473
cg.B.x_A64FX_32,1235,2113092002,21418827007,158745368,1472261698,715356044
cg.B.x_A64FX_32,1254,2104090312,21375773853,161000950,1488443550,734956949
cg.B.x_A64FX_32,1257,2124635501,21688255147,162803627,1511354334,748255058
cg.B.x_A64FX_32,1250,2113037264,21470199907,160947222,1491778988,734924948
cg.B.x_A64FX_32,1239,2126750769,21550574803,160222095,1479856527,716706009
cg.B.x_A64FX_32,1244,2113795805,21407952690,160101251,1477050362,719941407
cg.B.x_A64FX_32,1246,2112787716,21463340617,160316306,1489207710,732707684
cg.B.x_A64FX_32,1262,2116973963,21588003779,162992737,1510772491,751365790
cg.B.x_A64FX_32,1241,2083863740,21172529753,157773906,1466987710,722934767
cg.B.x_A64FX_32,1258,2120469947,21620523604,162611809,1510419158,749730857
cg.B.x_A64FX_32,1252,2118381462,21526185153,161543092,1493888508,734442659
