Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
cg.W.x_A64FX,0,73.92,24.3848,1.6952,448603314,6178885252,5195182228,295120695,39676786897,42187108632,14245487872
cg.W.x_A64FX,1,73.06,25.1889,1.75109999999999,448560658,6117080338,5126180761,308939093,39708575027,42344205474,14330087464
cg.W.x_A64FX,2,73.88,24.4222,1.6978,448882091,6118578858,5126564557,305183025,39491050753,41957076767,14155151472
cg.W.x_A64FX,3,73.59,24.69335,1.71665,448858635,6121399872,5141918140,300158942,39504539998,41765356200,14121309048
cg.W.x_A64FX,4,74.34,23.9921,1.6679,448711327,6213317413,5226643231,301448510,39319393454,41975417530,14058207548
cg.W.x_A64FX,5,73.56,24.7214,1.7186,448808407,6144831404,5178221094,278043457,39370289838,42091138392,14085671600
cg.W.x_A64FX,6,73.29,24.97385,1.73615000000001,448659133,6262007052,5292772439,294329454,39121176248,42293125169,14120572620
cg.W.x_A64FX,7,73.59,24.69335,1.71665,448791429,6246323382,5270185791,297768821,39081095262,42250517742,14101315228
cg.W.x_A64FX,8,73.16,25.0954,1.74460000000001,448315694,6336545801,5356725624,294708548,39038547713,42677529239,14213904320
cg.W.x_A64FX,9,73.97,24.33805,1.69194999999999,448912517,6272107557,5310766941,278098924,39077829725,42246025059,14009023028
cg.W.x_A64FX,10,73.68,24.6092,1.71079999999999,448712571,6272220866,5310852486,287045136,39098222966,42358871072,14072342284
cg.W.x_A64FX,11,73.85,24.45025,1.69975000000001,448780709,6354607178,5403509366,273675299,39241828945,42541852271,14074386788
cg.B.x_A64FX_32,0,82.88,16.130464,0.989536000000001,321971491,,,,,,
cg.B.x_A64FX_32,1,81.98,16.978444,1.041556,321830496,,,,,,
cg.B.x_A64FX_32,2,81.83,17.119774,1.050226,321860453,,,,,,
cg.B.x_A64FX_32,3,82.16,16.808848,1.03115200000001,321883109,,,,,,
cg.B.x_A64FX_32,4,82.78,16.224684,0.995316000000003,321958889,,,,,,
cg.B.x_A64FX_32,5,82.25,16.72405,1.02594999999999,321823401,,,,,,
cg.B.x_A64FX_32,6,82.07,16.893646,1.036354,321831568,,,,,,
cg.B.x_A64FX_32,7,82.85,16.15873,0.991270000000014,322084906,,,,,,
cg.B.x_A64FX_32,8,81.99,16.969022,1.040978,321843385,,,,,,
cg.B.x_A64FX_32,9,82.7,16.30006,0.999939999999995,322013986,,,,,,
cg.B.x_A64FX_32,10,82.67,16.328326,1.00167400000001,321976036,,,,,,
cg.B.x_A64FX_32,11,83.8,15.26364,0.936360000000008,322221323,,,,,,
cg.B.x_A64FX_32,12,83.62,15.433236,0.946764000000002,322079391,,,,,,
cg.B.x_A64FX_32,13,82.6,16.39428,1.00572000000001,321947493,,,,,,
cg.B.x_A64FX_32,14,83.9,15.16942,0.930579999999992,322188096,,,,,,
cg.B.x_A64FX_32,15,83.47,15.574566,0.955433999999997,322107386,,,,,,
