Appli,Run,Target,L1,L2,DRAM,gem5
,,,,,,
CG-OMP,no_weakscaling,CMG_A64FX_32,1.58041428916081,0.80031581183082,2.61724647660948,
,,,,,,
CG-OMP,no_weakscaling,CMG_LARC_C,1.71765369740414,0.928778963686661,2.61724647660948,
,,,,,,
CG-OMP,no_weakscaling,CMG_LARC_A,2.27664513834391,1.69967295237493,2.61724647660948,
,,,,,,
FT-OMP,no_weakscaling,CMG_A64FX_32,0.537966507834472,0.426836604282451,0.411627478232642,
,,,,,,
FT-OMP,no_weakscaling,CMG_LARC_C,0.815046279707052,0.688891740780664,1.63006726213839,
,,,,,,
FT-OMP,no_weakscaling,CMG_LARC_A,1.20244217564317,1.11834035966801,2.13555042450847,
,,,,,,
CCS-QCD,validation,CMG_A64FX_32,2.66161202207559,2.66161202207559,2.66161202207559,2.68249072
,,,,,,
CCS-QCD,validation,CMG_LARC_C,2.66161202207559,2.66161202207559,2.66161202207559,2.84708664
,,,,,,
CCS-QCD,validation,CMG_LARC_A,2.66161202207559,2.66161202207559,2.66161202207559,2.9256697
,,,,,,
EP-OMP,validation,CMG_A64FX_32,2.66613897215102,2.66613897215102,2.66613897215102,2.667094105
,,,,,,
EP-OMP,validation,CMG_LARC_C,2.66613897215102,2.66613897215102,2.66613897215102,2.671090575
,,,,,,
EP-OMP,validation,CMG_LARC_A,2.66613897215102,2.66613897215102,2.66613897215102,2.671095742
,,,,,,
CG-OMP,validation,CMG_A64FX_32,1.88127265215432,1.63309906221263,2.63231424505133,1.98301018
,,,,,,
CG-OMP,validation,CMG_LARC_C,2.04462058904811,1.89523689545713,2.63231424505133,2.317177553
,,,,,,
CG-OMP,validation,CMG_LARC_A,2.70992546091072,3.46829871852941,2.63231424505133,2.85341747
,,,,,,
FT-OMP,validation,CMG_A64FX_32,0.739750947928944,0.507794834690457,0.411093601635876,0.5641579249
,,,,,,
FT-OMP,validation,CMG_LARC_C,1.1207598414375,0.819554049769017,1.62795308169993,1.326995397
,,,,,,
FT-OMP,validation,CMG_LARC_A,1.65346304334521,1.33045632068025,2.13278063761826,2.263423799
,,,,,,
MG-OMP,validation,CMG_A64FX_32,2.12158504194289,2.66862424184212,2.66862424184212,1.315648689
,,,,,,
MG-OMP,validation,CMG_LARC_C,2.4326284423213,2.66862424184212,2.66862424184212,2.028681755
,,,,,,
MG-OMP,validation,CMG_LARC_A,2.84016340636894,2.66862424184212,2.66862424184212,4.643247341
,,,,,,
IS-OMP,validation,CMG_A64FX_32,2.66664805250564,2.66664805250564,2.66664805250564,1.7256691
,,,,,,
IS-OMP,validation,CMG_LARC_C,2.66664805250564,2.66664805250564,2.66664805250564,1.716761727
,,,,,,
IS-OMP,validation,CMG_LARC_A,2.66664805250564,2.66664805250564,2.66664805250564,2.498146883
,,,,,,
QWS_small,bigapp_study,CMG_A64FX_32,2.48989910661549,2.83019774184098,2.83019774184098,
,,,,,,
QWS_small,bigapp_study,CMG_LARC_C,2.55175238037123,2.83019774184098,2.83019774184098,
,,,,,,
QWS_small,bigapp_study,CMG_LARC_A,2.56402043084166,2.83019774184098,2.83019774184098,
,,,,,,
QWS_large,bigapp_study,CMG_A64FX_32,2.82909315739914,3.38410645978472,3.38410645978472,
,,,,,,
QWS_large,bigapp_study,CMG_LARC_C,2.91276190449091,3.38410645978472,3.38410645978472,
,,,,,,
QWS_large,bigapp_study,CMG_LARC_A,2.92463075997827,3.38410645978472,3.38410645978472,
,,,,,,
genesis,bigapp_study,CMG_A64FX_32,2.64986292442268,2.64986292442268,2.64986292442268,
,,,,,,
genesis,bigapp_study,CMG_LARC_C,2.64986292442268,2.64986292442268,2.64986292442268,
,,,,,,
genesis,bigapp_study,CMG_LARC_A,2.64986292442268,2.64986292442268,2.64986292442268,
